,BAFFLES_END1,BAFFLES_END2,BIKE_INFRASTRUCTURE_TYPE,BIKE_NETWORK,COMMENTS,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,DESCRIPTION,EQ_NO,FACILITYID,FENCING_SIDE1,FENCING_SIDE2,HABITAT,LEGACYID,LENGTH,LOCATION,MAINTENANCE_RESPONSIBILITY,MATERIAL,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OPERATOR,OWNER,PARK_OWNERSHIP,PRK_BRIDGE_SPECIAL_FEATURES,PRK_TRAIL_SERVICE_CLASS,PROJECT_NO,RAILINGS_MATERIAL1,RAILINGS_MATERIAL2,REFERENCE_NO,ROUTE_TYPE2,STATUS,TREES_PLANTED,USE_LEVEL,WIDTH,YR
92,,,,,(lbob new) ,,,,"P2 Path; Chimney Hill Park - 53A, 15070 - 76 Ave",,1001485221,,,,,,from 152 St to 150a St,Parks,Asphalt,"Chimney Hill Park, 15070 76 Ave",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
93,,,,,(lbob new) ,,,,"P2 Path; 32E - Greenbelt, 13720 92 Ave",,1001484781,,,,,,from 90a Ave & 136b St entrance to forest edge,Parks,Asphalt,"32E - Greenbelt, 13720 92 Ave",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
94,,,,,(lbob new) ,,,,"T3 Trail; Ridgeview Park, 10894 165 St",,1001485181,,,,,,From 165 St to 165B St,Parks,Limestone,"Ridgeview Park, 10894 165 St",Park,Parks,Parks,Surrey,,,B1,,,,T3,General Access and Recreation,In Service,No,,2,2009
95,,,,,(lbob new) ,,,,"P1 Path;  135A - Detention Pond, 1368 161b St",,1001485229,,,,,,From 161B St to 13 Ave,Parks,Asphalt,"135A - Detention Pond, 1368 161b St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,1.5,2009
96,,,,,(lbob new) ,,,,"P1 Path; 112I - Greenbelt, 2571 - 138 St",,1001485187,,,,,,throughout site,Parks,Asphalt,"112I - Greenbelt, 2571 138 St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,1.5,2009
97,,,,,(lbob new) ,,,,"P2 Path; 121O - Detention Pond, 1649 Amble Greene Dr",,1001485190,,,,,,From northwest corner of detention pond to asphal*,Parks,Limestone,"121O - Detention Pond, 1649 Amble Greene Dr",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,1,2009
98,,,,,(lbob new) ,Recreation,,,"T3 Trail; Maple Green Park, 8959 150 St",,1001485193,,,,,,From T1 in Northwest to far north east,Parks,Gravel,"Maple Green Park, 8959 150 St",Park,Parks,Parks,Surrey,,,B1,,,,T3,Nature Trail,In Service,No,,1.7,2009
99,,,,,(lbob new) ,Recreation,,,"T1 Trail; Kettle Crescent Park, 15434 Kildare Dr",,1001485198,,,,,,Runs north - south through forest and continues i*,Parks,Gravel,"Kettle Crescent Park, 15434 Kildare Dr",Park,Parks,Parks,Surrey,,,B1,,,,T1,Nature Trail,In Service,No,,1.5,2009
100,,,,,(lbob new) ,,,,"P4 Path; Bell Estates Park, 1884 - 137A St",,1001485489,,,,,,from 18a Ave to P1,Parks,Gravel,"Bell Estates Park, 1884 137A St",Park,Parks,Parks,Surrey,,,,,,,P4,General Access and Recreation,In Service,No,,,2009
101,,,,,(lbob new) ,,,,"P4 Path; Hillcrest Park, 6530 185 St",,1001485493,,,,,,from P2 to P5,Parks,Asphalt,"Hillcrest Park, 6530 185 St",Park,Parks,Parks,Surrey,,,,,,,P4,General Access and Recreation,In Service,No,,2,2009
102,,,,,,,,,"Boardwalk #3 - Wood; Godwin Farm Biodiversity Preserve, 9016 164 St",,1001905347,,,,1001905342,,within park,Parks,Wooden,"Godwin Farm Biodiversity Preserve, 9016 164 St",,Parks,,,,,,,,,3,Walkway,,,,,
103,,,,,(lbob new) ,,,,"P1 Path; Springwood Forest Park, 5844 150 St",,1001485507,,,,,,Panorama Dr entrance to forest edge,Parks,Concrete,"Springwood Forest Park, 5844 150 St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
104,,,,,(lbob new) ,,,,"P1 Path; Kettle Crescent Park, 15434 Kildare Dr",,1001485512,,,,,,,Parks,Limestone,"Kettle Crescent Park, 15434 Kildare Dr",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
105,,,,,(lbob new) ,,,,"P2 Path; Riverside Park, 14875 108A Ave",,1001485528,,,,,,from P1 to all-weather field,Parks,Limestone,"Riverside Park, 14875 108A Ave",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
106,,,,,(lbob new) ,,,,"P3 Path; T.E. Scott Park, 6998 148 St",,1001485530,,,,,,from 71a Ave to P2,Parks,Asphalt,"T.E. Scott Park, 6998 148 St",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,2,2009
107,,,,,(lbob new) ,,,,"P1 Path; 68J - Greenbelt, 18840 68a Ave",,1001485537,,,,,,from 68a Ave to 68 Ave,Parks,Asphalt,"68J - Greenbelt, 18840 68a Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
108,,,,,,,,,"P2 Path; Forsyth Park, 10635 140 St",,1001955049,,,,,,throughout park,Parks,Asphalt,"Forsyth Park, 10635 140 St",Park,Parks,Parks,,,,,,,,P2,General Access and Recreation,In Service,,,2,
109,,,,,(lbob new) ,,,,"P1 Path; 124C - Greenbelt, 2279 - 154A St",,1001485779,,,,,,Through middle of site,Parks,Limestone,"124C - Greenbelt, 2279 154A St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
110,,,,,(lbob new) ,,,,"P9 Path; Southmere Village Park, 1701 - Martin Dr",,1001485786,,,,,,in south section just north of 16 Ave to view are*,Parks,Asphalt,"Southmere Village Park, 1701 Martin Dr",Park,Parks,Parks,Surrey,,,,,,,P9,General Access and Recreation,In Service,No,,,2009
111,,,,,(lbob new) ,,,,"P2 Path; Bell Estates Park, 1884 - 137A St",,1001485790,,,,,,from 19a Ave to P1,Parks,Concrete,"Bell Estates Park, 1884 137A St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
112,,,,,(lbob new) ,,,,"P15 Path; Bear Creek Park, 13750 - 88 Ave",,1001486295,,,,,,from southeast corner of main parking lot to P4,Parks,Asphalt,"Bear Creek Park, 13750 88 Ave",Park,Parks,Parks,Surrey,,,,,,,P15,Vehicle Access,In Service,No,,,2009
113,,,,,(lbob new) ,,,,"P5 Path; John Tompson Park, 14324 Hawkstream Dr",,1001484897,,,,,,from P1 to forest edge,Parks,Limestone,"John Tompson Park, 14324 Hawkstream Dr",Park,Parks,Parks,Surrey,,,,,,,P5,General Access and Recreation,In Service,No,,,2009
114,,,,,(lbob new) ,,,,"P1 Path; R.A. Nicholson Park, 12140 - 75A Ave",,1001484899,,,,,,from south side to around playground,Parks,Asphalt,"R.A. Nicholson Park, 12140 75A Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,2.5,2009
115,,,,,(lbob new) ,,,,"P4 Path; Enver Creek Park, 8170 146 St",,1001484901,,,,,,from 83 Ave entrance to P3,Parks,Concrete,"Enver Creek Park, 8170 146 St",Park,Parks,Parks,Surrey,,,,,,,P4,Walkway,In Service,No,,,2009
116,,,Mountain Bike Intermediate,,(lbob new) ,,,,"T39 Trail (Dynomite Roll - Flow Trail); South Surrey Bike Park, 2200 148 St",,1001485256,,,,,,in bike park,Parks,,"South Surrey Bike Park, 2200 148 St",Park,Parks,Parks,Surrey,,,A,,,,T39,Off Road Bike Recreation Trail,In Service,No,,,2009
117,,,Mountain Bike Advanced,,(lbob new) ,,,,"T28 Trail; South Surrey Bike Park, 2200 148 St",,1001485257,,,,,,in bike park,Parks,,"South Surrey Bike Park, 2200 148 St",Park,Parks,Parks,Surrey,,,A,,,,T28,Off Road Bike Recreation Trail,In Service,No,,,2009
118,,,,,(lbob new) ,,,,"P1 Path; 122Q - Greenbelt, 13851 20 Ave",,1001485235,,,,,,From 20a Ave to forest edge,Parks,Asphalt,"122Q - Greenbelt, 13851 20 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
119,,,,,(lbob new) ,Recreation,,,"T2 Trail; Bob Rutledge Park, 5448 148 St",,1001484512,,,,,,"From T1, southeast to grass and tennis court area",Parks,Gravel,"Bob Rutledge Park, 5448 148 St",Park,Parks,Parks,Surrey,,,B1,,,,T2,Nature Trail,In Service,No,,1.7,2009
120,,,,,(lbob new) Surveillance area needs increasing,Recreation,,,"T4 Trail; Coyote Creek Park, 8077 156 St",,1001484523,,,,,,Playground area to T2,Parks,Gravel,"Coyote Creek Park, 8077 156 St",Park,Parks,Parks,Surrey,,,B1,,,,T4,Nature Trail,In Service,No,,1.2,2009
121,,,,,(lbob new) ,Recreation,,,"T1 Trail; Bog Park - 21D, 9740 130 St",,1001484527,,,,,,West edge to north edge of forest,Parks,Gravel,"Bog Park - 21D, 9740 130 St",Park,Parks,Parks,Surrey,,,B2,,,,T1,Nature Trail,In Service,No,,1.4000000000000001,2009
122,,,,,(lbob new) ,Recreation,,,"T7 Trail; Bolivar Park, 13591 Crestview Dr",,1001484529,,,,,,115 Ave. to road running along southwest edge of *,Parks,Gravel,"Bolivar Park, 13591 Crestview Dr",Park,Parks,Parks,Surrey,,,B2,,,,T7,Nature Trail,In Service,No,,1.3,2009
123,,,,,(lbob new) ,Recreation,,,"T9 Trail; Hawthorne Park, 10503 144 St",,1001484551,,,,,,From T1 to T4,Parks,Gravel,"Hawthorne Park, 10503 144 St",Park,Parks,Parks,Surrey,,,A,,,,T9,Nature Trail,In Service,No,,,2009
124,,,,,(lbob new) ,Recreation,,,"T1 Trail (Semiahmoo Greenway); Semiahmoo Trail - 103C, 3402 144 St",,1001484579,,,,,,from Elgin Community Centre to 34 Ave,Parks,Gravel,"Semiahmoo Trail - 103C, 3402 144 St",Park,Parks,Parks,Surrey,,,A,,,,T1,Nature Trail,In Service,No,,1.7,2009
125,,,,,(lbob new) ,Recreation,,,"T2 Trail;  Queen Mary Park, 8972 Queen Mary Blvd",,1001484521,,,,,,"Continuation of T1 as it re-enters forest, then r*",Parks,Gravel,"Queen Mary Park, 8972 Queen Mary Blvd",Park,Parks,Parks,Surrey,,,A,,,,T2,Nature Trail,In Service,No,,1.5,2009
126,,,,,(lbob new) ,Recreation,,,"T2 Trail; Cedar Grove Park, 10222 141 St",,1001484524,,,,,,From north walkway to east walkway,Parks,Gravel,"Cedar Grove Park, 10222 141 St",Park,Parks,Parks,Surrey,,,B1,,,,T2,Nature Trail,In Service,No,,1.7,2009
127,,,,,(lbob new) ,Recreation,,,"T4 Trail; Elgin Heritage Park, 13723 Crescent Rd",,1001484470,,,,,,"In main forest west of Stewart Farmhouse, startin*",Parks,Gravel,"Elgin Heritage Park, 13723 Crescent Rd",Park,Parks,Parks,Surrey,,,A,,,,T4,Nature Trail,In Service,No,,1.8,2009
128,,,,,(lbob new) ,Recreation,,,"T32 Trail; Hi-Knoll Park, 19569 Colebrook Rd",,1001484474,,,,,,From corner of 196 St and 49 Ave it loops west in*,Parks,Gravel,"Hi-Knoll Park, 19569 Colebrook Rd",Park,Parks,Parks,Surrey,,,B2,,,,T32,Nature Trail,In Service,No,,1.4000000000000001,2009
129,,,,,(lbob new) Bike baffle at west end,Recreation,,,"T1 Trail;112J - Greenbelt, 2521 139A St",,1001484478,,,,,,From west to esdt through park (West side of gras*,Parks,Gravel,"112J - Greenbelt, 2521 139A St",Park,Parks,Parks,Surrey,,,B2,,,,T1,Nature Trail,In Service,No,,1.6,2009
130,,,,,(lbob new) Bike baffle at east end,Recreation,,,"T2 Trail;112J - Greenbelt, 2521 139A St",,1001484479,,,,,,Continuation of T1 through park (East side of gra*,Parks,Gravel,"112J - Greenbelt, 2521 139A St",Park,Parks,Parks,Surrey,,,B2,,,,T2,Nature Trail,In Service,No,,1.6,2009
131,,,,,(lbob new) Sanctioned,Recreation,,,"T116 Trail; Green Timbers Urban Forest Park, 14698 96 Ave",,1001484492,,,,,,From 145 St and 10245 to Yellow Arum Trail,Parks,Dirt,"Green Timbers Urban Forest Park, 14698 96 Ave",Land,Parks,Parks,Surrey,,,A,,,,T116,Nature Trail,In Service,No,,1,2009
132,,,,,(lbob new) ,Recreation,,,"T81 Trail; Bear Creek Park, 13750 88 Ave",,1001484508,,,,,,Far northeast corner linking fitness loop with 88*,Parks,Gravel,"Bear Creek Park, 13750 88 Ave",Park,Parks,Parks,Surrey,,,A,,,,T81,Nature Trail,In Service,No,,2.5,2009
133,,,Mountain Bike Intermediate,,(lbob new) ,,,,"T4 Trail; South Surrey Bike Park, 2200 148 St",,1001485258,,,,,,in bike park,Parks,,"South Surrey Bike Park, 2200 148 St",Park,Parks,Parks,Surrey,,,A,,,,T4,Off Road Bike Recreation Trail,In Service,No,,,2009
134,,,,,(lbob new) ,,,,"P1 Path; Kettle Crescent Park, 15434 Kildare Dr",,1001485502,,,,,,Runs east - west through park,Parks,Asphalt,"Kettle Crescent Park, 15434 Kildare Dr",Park,Parks,Parks,Surrey,,,,,,,P5,Vehicle Access,In Service,No,,,2009
135,,,,,(lbob new) ,,,,"P2 Path; Kettle Crescent Park, 15434 Kildare Dr",,1001485511,,,,,,from western Kildare Dr entrance to Kettle Cres N,Parks,Asphalt,"Kettle Crescent Park, 15434 Kildare Dr",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
136,,,,,(lbob new) ,,,,"P1 Path; 15H - Greenbelt, 16341 104 Ave",,1001486020,,,,,,From Glenmoor Court to 104 Ave,Parks,Asphalt,"15H - Greenbelt, 16341 104 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
137,,,,,(lbob new) ,,,,"T2 Trail; Frank Hurt Park, 13828 77 Ave",,1001486044,,,,,,From grassy area in southwest to school parking l*,Parks,Asphalt,"Frank Hurt Park, 13828 77 Ave",Park,Parks,Parks,Surrey,,,A,,,,T2,Vehicle Access,In Service,No,,2.5,2009
138,,,,,(lbob new) ,,,,"P1 Path; British Manor Park, 14440 - 79 Ave",,1001485262,,,,,,"from eastern 145 St entrance to forest, then nort*",Parks,Limestone,"British Manor Park, 14440 79 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
139,,,,,(lbob new) ,,,,"P7 Path; Chimney Hill Park, 7350 - 150A St",,1001485263,,,,,,from 73b Ave to grass area,Parks,Concrete,"Chimney Hill Park, 15070 76 Ave",Park,Parks,Parks,Surrey,,,,,,,P7,General Access and Recreation,In Service,No,,,2009
140,,,,,(lbob new) ,,,,"P2 Path; Cedar Grove Park, 10222 141 St",,1001485471,,,,,,from 142a St entrance to forest edge,Parks,Concrete,"Cedar Grove Park, 10222 141 St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
141,,,,,(lbob new) ,,,,"P1 Path; 23H - Walkway, 15025 - 98 Ave",,1001485479,,,,,,From 98 Ave Entrance To 150 St Entrance,Parks,Asphalt,"23H - Walkway, 15025 98 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
142,,,,,(lbob new) ,,,,"P4 Path; Don Christian Park, 6220 184 St",,1001485961,,,,,,184 St entrance to centre and parking lot,Parks,Other,"Don Christian Park, 6220 184 St",Park,Parks,Parks,Surrey,,,,,,,P4,General Access and Recreation,In Service,No,,,2009
143,,,,,(lbob new) ,,,,"P3 Path; Don Christian Park, 6220 184 St",,1001990525,,,,1001485959,,from 184B St entrance to parking lot,Parks,Asphalt,"Don Christian Park, 6220 184 St",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
144,,,,,(lbob new) ,,,,"P2 Path; Don Christian Park, 6220 184 St",,1001990531,,,,1001485959,,from playground to centre,Parks,Asphalt,"Don Christian Park, 6220 184 St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
145,,,,,(lbob new) ,,,,"P2 Path;  Newton Reservoir Park, 6275 128 St",,1001486104,,,,,,from 62a Ave at 128 St to P1,Parks,Asphalt,"Newton Reservoir Park, 6275 128 St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
146,,,,,(lbob new) ,,,,"P2 Path; Cougar Creek Park, 6889 - 123 St",,1001486107,,,,,,along E edge of site from 123 St to 69a Ave,Parks,Limestone,"Cougar Creek Park, 6889 123 St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
147,,,,,,,,,"Bridge #1 - Concrete; Surrey Lake, 7500 152 St",,1001841640,,,,,,from parking lot on T1,Parks,Concrete,"Surrey Lake, 7500 152 St",Park,Parks,,,,,,,,,1,Pedestrian Bridge,,,,,
148,,,,,(lbob new) ,,,,"P4 Path; Guildford Heights Park, 10310 154 St",,1001486120,,,,,,from 154 St to P3 and on to P2,Parks,Asphalt,"Guildford Heights Park, 10310 154 St",Park,Parks,Parks,Surrey,,,,,,,P4,General Access and Recreation,In Service,No,,,2009
149,,,,,(lbob new) Wide treed area at east end,Recreation,,,"T1 Trail; Chimney Hill Park, 7411 150A St",,1001484591,,,,,,Runs east - west through park,Parks,Gravel,"Chimney Hill Park, 15070 76 Ave",Park,Parks,Parks,Surrey,,,B1,,,,T1,Nature Trail,In Service,No,,1.8,2009
150,,,,,(lbob new) ,Recreation,,,"T34 Trail; Crescent Park, 2585 132 St",,1001484599,,,,,,from 26 Ave north and east to T8,Parks,Gravel,"Crescent Park, 2585 132 St",Park,Parks,Parks,Surrey,,,A,,,,T34,Nature Trail,In Service,No,,1.2,2009
151,,,,,(lbob new) ,Recreation,,,"T4 Trail; Chimney Hill Park, 7411 150A St",,1001484609,,,,,,North entrance to park to T1,Parks,Gravel,"Chimney Hill Park, 15070 76 Ave",Park,Parks,Parks,Surrey,,,B1,,,,T4,Nature Trail,In Service,No,,2,2009
152,,,,,(lbob new) ,,,,"P5 Path; 67I - Greenbelt, 6502 - Claytonhill Grove",,1001486100,,,,,,from Claytonwood Court to passive grass area,Parks,Concrete,"Clayton Hill Park, 18221 Claytonhill Dr",Park,Parks,Parks,Surrey,,,,,,,P5,General Access and Recreation,In Service,No,,3,2009
153,,,,,(lbob new) ,,,,"P18 Path; Bear Creek Park, 13750 - 88 Ave",,1001485320,,,,,,from P16 to P15,Parks,Asphalt,"Bear Creek Park, 13750 88 Ave",Park,Parks,Parks,Surrey,,,,,,,P18,General Access and Recreation,In Service,No,,,2009
154,,,,,,,,,"P4 Path; Forsyth Park, 10635 140 St",,1001997225,,,,,,Loops around off leash areas,Parks,Gravel,"Forsyth Park, 10635 140 St",Park,Parks,,,,,,,,,P4,General Access and Recreation,In Service,,,,
155,,,Mountain Bike Intermediate,,(lbob new) ,,,,"T18 Trail; South Surrey Bike Park, 2200 148 St",,1001485390,,,,,,in bike park,Parks,,"South Surrey Bike Park, 2200 148 St",Park,Parks,Parks,Surrey,,,A,,,,T18,Off Road Bike Recreation Trail,In Service,No,,,2009
156,,,,,(lbob new) ,,,,"P3 Path; 32Q - Greenbelt, 14340 90 Ave",,1001485399,,,,,,from 89a Ave to forest edge,Parks,Limestone,"32Q - Greenbelt, 14340 90 Ave",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
157,,,,,,,,,"P3 Path; Forsyth Park, 10635 140 St",,1001997167,,,,,,north 139 St park entrance,Parks,Gravel,"Forsyth Park, 10635 140 St",Park,Parks,Parks,,,,,,,,P3,General Access and Recreation,In Service,,,,
158,,,,,(lbob new) ,Recreation,,,"T1 Trail; 62Q - Greenbelt, 6417 136a St",,1001485336,,,,,,from 64 Ave to 136a St,Parks,Gravel,"62Q - Greenbelt, 6417 136a St",Park,Parks,Parks,Surrey,,,B1,,,,T1,Nature Trail,In Service,No,,1.5,2009
159,,,,,(lbob new) ,Recreation,,,"T27 Trail; Green Timbers Urban Forest Park, 14698 96 Ave",,1001485338,,,,,,"from junction T72, T51, & T94 south to T163",Parks,Gravel,"Green Timbers Urban Forest Park, 14698 96 Ave",Land,Parks,Parks,Surrey,,,A,,,,T27,Nature Trail,In Service,No,,1.5,2009
160,,,Mountain Bike Intermediate,,(lbob new) ,,,,"T15 Trail; South Surrey Bike Park, 2200 148 St",,1001485348,,,,,,in bike park,Parks,,"South Surrey Bike Park, 2200 148 St",Park,Parks,Parks,Surrey,,,A,,,,T15,Off Road Bike Recreation Trail,In Service,No,,,2009
161,,,,,"(lbob new) Connects Southpark Crescent with Northpark Crescent so could be access and rec. trail... was T1 prior to Dec. 7, 2010... now P6.",,,,"P6 Path; Boundary Park, 6058 Boundary Dr West",,1001485356,,,,,,Crossing through middle of park,Parks,Asphalt,"Boundary Park, 6058 Boundary Dr West",Park,Parks,Parks,Surrey,,,,,,,P6,General Access and Recreation,In Service,No,,2.5,2009
162,,,,,(lbob new) ,Recreation,,,"T2 Trail; Sunnyside Park, 15455 26 Ave",,1001485380,,,,,,through forest in eastern section of park,Parks,Gravel,"Sunnyside Park, 15455 26 Ave",Park,Parks,Parks,Surrey,,,B1,,,,T2,Nature Trail,In Service,No,,2,2009
163,,,,,(lbob new) ,Recreation,,,"T1 Trail; Owl Park, 6090 146 St",,1001485381,,,,,,from 146 St to 147 St,Parks,Gravel,"Owl Park, 6090 146 St",Park,Parks,Parks,Surrey,,,B2,,,,T1,Nature Trail,In Service,No,,2,2009
164,,,,,(lbob new) 13m of this path is concrete stepping stones across the water feature,,,,"P15 Path; Holland Park, 13428 Old Yale Road",,1001486076,,,,,,"from P1 to P11, east of central plaza, 3rd outerm*",Parks,Gravel,"Holland Park, 13428 Old Yale Road",Park,Parks,Parks,Surrey,,,,,,,P15,General Access and Recreation,In Service,No,,,2009
165,,,,,(lbob new) ,,,,"P16 Path; Holland Park, 13428 Old Yale Road",,1001486077,,,,,,"from P1 to P6, gravel arc to north and east of ce*",Parks,Gravel,"Holland Park, 13428 Old Yale Road",Park,Parks,Parks,Surrey,,,,,,,P16,General Access and Recreation,In Service,No,,,2009
166,,,,,(lbob new) ,Recreation,,,"T1 Trail; Barry Mather Park, 15039 92A Ave",,1001486083,,,,,,Runs north - south through park from grassy area *,Parks,Gravel,"Barry Mather Park, 15039 92A Ave",Park,Parks,Parks,Surrey,,,B1,,,,T1,Nature Trail,In Service,No,,1.8,2009
167,,,,,(lbob new) ,,,,"P3 Path; Briarwood Park, 9735 156 St",,1001486113,,,,,,from southern 155a St entrance to park,Parks,Asphalt,"Briarwood Park, 9735 156 St",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
168,,,,,(lbob new) ,,,,"P12 Path; Fleetwood Park, 15802 80 Ave",,1001486119,,,,,,around perimeter of playground #1,Parks,Asphalt,"Fleetwood Park, 15802 80 Ave",Park,Parks,Parks,Surrey,,,,,,,P12,General Access and Recreation,In Service,No,,,2009
169,,,,,(lbob new) ,,,,"P7 Path; Huntington Park, 13111 21b Ave",,1001486129,,,,,,from 2082 129b St to P3,Parks,Asphalt,"Huntington Park, 13111 21b Ave",Park,Parks,Parks,Surrey,,,,,,,P7,General Access and Recreation,In Service,No,,,2009
170,,,,,(lbob new) ,,,,"P7 Path; 34A - Utility ROW, 15472 - 95A Ave",,1001486137,,,,,,from 15473 95 Ave to 15515 95 Ave,Parks,Concrete,"34A - Utility ROW, 15472 95A Ave",Park,Parks,Parks,Surrey,,,,,,,P7,Vehicle Access,In Service,No,,,2009
171,,,,,(lbob new) ,,,,"P7 Path; Joe Brown Park, 5381 125A St",,1001486148,,,,,,From 124b St entrance to T9,Parks,Limestone,"Joe Brown Park, 5381 125A St",Park,Parks,Parks,Surrey,,,,,,,P7,General Access and Recreation,In Service,No,,,2009
172,,,,,(lbob new) ,,,,"P1 Path; Bridgeview Park, 11475 126A St",,1001486151,,,,,,From parking lot to courts,Parks,Asphalt,"Bridgeview Park, 11475 126A St",Park,Parks,Parks,Surrey,,,,,,,P1,Vehicle Access,In Service,No,,,2009
173,,,,,(lbob new) ,,,,"P15 Path; Newton Athletic Park, 7395 128 St",,1001485849,,,,,,around perimeter of 'Kwantlen' synthetic field,Parks,Concrete,"Newton Athletic Park, 7395 128 St",Park,Parks,Parks,Surrey,,,,,,,P15,General Access and Recreation,In Service,No,,,2009
174,,,,,(lbob new) ,,,,"P10 Path; Newton Athletic Park, 7395 - 128 St",,1001485274,,,,,,from 128 St towards pavilion,Parks,Concrete,"Newton Athletic Park, 7395 128 St",Park,Parks,Parks,Surrey,,,,,,,P10,General Access and Recreation,In Service,No,,,2009
175,,,,,(lbob new) ,,,,"P1 Path; 78K - Greenbelt, 5672 184B St",,1001485707,,,,,,from street to playground,Parks,Asphalt,"78K - Greenbelt, 5672 184B St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
176,,,,,(lbob new) ,Recreation,,,"T5 Trail; Hazelnut Meadows Community Park, 14069 68 Ave",,1001486134,,,,,,T3 to 140 St,Parks,Gravel,"Hazelnut Meadows Community Park, 14069 68 Ave",Park,Parks,Parks,Surrey,,,B1,,,,T5,Nature Trail,In Service,No,,1.8,2009
177,,,,,(lbob new) ,,,,"P2 Path; Rosemary Heights Park, 15333 34 Ave",,1001486138,,,,,,from Rosemary Hts Cr to 154 St,Parks,Asphalt,"Rosemary Heights Park, 15333 34 Ave",Park,Parks,Parks,Surrey,,,,,,,P2,Vehicle Access,In Service,No,,,2009
178,,,,,(lbob new) ,,,,"P1 Path; Robin Park, 11240 - 150 St",,1001486152,,,,,,from 150 St to perimeter of Washroom,Parks,Asphalt,"Robin Park, 11240 150 St",Park,Parks,Parks,Surrey,,,,,,,P1,Vehicle Access,In Service,No,,,2009
179,,,,,(lbob new) ,,,,"P1 Path; Serpentine Heights Park, 16151 - 92 Ave",,1001486153,,,,,,from 92 Ave to school grounds,Parks,Asphalt,"Serpentine Heights Park, 16151 92 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,Vehicle Access,In Service,No,,,2009
180,,,,,(lbob new) ,,,,"P3 Path; Southmere Village Park, 1701 - Martin Dr",,1001486173,,,,,,in north section from NE entrance to P2,Parks,Asphalt,"Southmere Village Park, 1701 Martin Dr",Park,Parks,Parks,Surrey,,,,,,,P3,Vehicle Access,In Service,No,,,2009
